,title,budget_musd,budget_musd,revenue_musd,revenue_musd,vote_average,popularity,ROI,vote_count
,count,sum,mean,sum,mean,mean,mean,median,mean
belongs_to_collection,,,,,,,,,
Charlie Chan (Warner Oland) Collection,15,0.0,,0.0,,6.658333333333334,0.6649861333333333,,6.866666666666666
Charlie's Angels Collection,2,212.0,106.0,523.281333,261.6406665,5.4,8.798050499999999,2.5152553394927537,1091.5
Charlotte's Web Collection,2,0.0,,0.0,,5.4,4.3343875,,53.5
Che Collection,2,70.0,35.0,0.0,,6.75,6.590658500000001,,182.0
Cheaper by the Dozen Collection,2,100.0,50.0,319.393943,159.6969715,5.9,7.2328595,3.4541666624999996,633.5
Cheech & Chong Collection,7,0.0,,119.943461,29.98586525,5.928571428571429,6.624315142857143,,57.714285714285715
Child's Play Collection,6,77.0,12.833333333333334,176.022038,35.2044076,5.6000000000000005,17.109923,2.069137,381.1666666666667
Children of the Corn Collection,9,8.7,2.175,20.980986,10.490493,4.300000000000001,7.155931111111111,12.628325555555556,60.666666666666664
Chili Palmer Collection,2,83.25,41.625,210.327738,105.163869,5.9,12.991920499999999,2.800865733665991,300.5
China O'Brien Collection,1,0.0,,0.0,,6.5,0.774983,,13.0
Chinese Boxer Collection,1,0.0,,0.0,,6.9,0.8330700000000001,,8.0
Cinderella Collection,3,15.9,5.3,263.591415,263.591415,6.1000000000000005,9.800494,90.89359137931034,756.3333333333334
Cinderella Story Collection,4,24.0,12.0,70.067909,70.067909,6.125,6.977512999999999,3.687784684210526,381.0
Circuitry Man Collection,2,0.0,,0.0,,4.1,0.728823,,4.5
Cirque du Soleil Collection,1,0.0,,34.153101,34.153101,6.1,4.725759,,58.0
City Slickers Collection,2,27.0,27.0,179.03379099999995,179.03379099999995,5.550000000000001,7.9701945,6.630881148148147,167.5
Clash of the Titans Collection,2,275.0,137.5,533.713139,266.8565695,5.55,9.8561255,1.9341858893333335,1869.5
Class of 1999 Collection,3,9.5,4.75,2.459895,2.459895,5.533333333333334,5.220626,0.4730567307692307,40.333333333333336
Classmates Collection,1,0.0,,0.0,,4.1,0.3744099999999999,,8.0
Cleopatra Jones,1,0.0,,0.0,,6.7,0.487831,,3.0
Clerks Collection,2,5.027,2.5135,30.039506000000003,15.019753000000001,7.15,9.490046,61.043096859259265,588.0
Clint Eastwood's Iwo Jima Collection,2,109.0,54.5,134.57347700000003,67.28673850000001,6.95,10.437041,2.1733027049707605,542.5
Cloudy with a Chance of Meatballs Collection,2,178.0,89.0,491.373087,245.6865435,6.45,13.038877,2.8071514389743593,1367.5
Cocaine Cowboys,3,0.0,,0.163,0.163,7.033333333333334,1.6007806666666664,,27.666666666666668
Cocoon Collection,2,17.5,17.5,110.338043,55.1690215,5.95,8.970270999999999,1.4299953714285714,216.0
Cold Prey Collection,3,0.0,,0.0,,6.2,4.708415666666666,,58.0
Cold War Collection,1,0.0,,0.0,,6.4,7.7627570000000015,,48.0
Conan the Barbarian Collection,3,55.9,18.633333333333333,186.06271800000002,62.020906000000004,5.8,10.228564666666665,3.95570425,421.6666666666667
Confessions Collection,4,0.0,,0.0,,6.8,0.75715925,,5.25
Constantine Collection,1,100.0,100.0,230.884728,230.884728,6.6,9.615691,2.30884728,1837.0
Contracted Collection,2,0.0,,0.0,,5.15,4.84923,,94.0
Corto Maltese,4,0.0,,0.0,,7.225,0.708811,,8.25
Count Yorga Collection,2,0.064,0.064,0.0,,5.35,0.9971979999999999,,7.5
Cowgirls n' Angels Collection,2,0.0,,0.12068,0.12068,5.55,1.7831625,,13.0
Crank Collection,2,32.0,16.0,77.491618,38.745809,6.25,11.3361175,2.6528078,1025.0
Creature From The Black Lagoon (Universal Series),3,0.0,,1.3,1.3,5.966666666666666,3.2265556666666666,,62.0
Creepshow Collection,3,11.5,5.75,35.028755000000004,17.514377500000002,5.466666666666666,8.608087,3.3142971875000002,130.33333333333334
Critters Collection,4,6.5,3.25,16.980525,8.4902625,4.925,8.44766175,3.7155072222222225,107.0
Crocodile Dundee Collection,3,26.15,13.075,607.24839,202.41612999999998,5.5,7.793387333333333,33.752706959338056,323.6666666666667
